# Alizia planning

  Meeting started: 30/3/2026, 14:44:54
  Duration: 54 minutes
  Participants: José Attento | Educabot.com, Juan Mateos | Educabot.com, Sebastian L. | Educabot.com

  [View original transcript](https://app.tactiq.io/api/2/u/m/r/MC52P0Z8LacS4Sf5PzQo?o=txt)

    

  

  
    ## Highlights

    > 01:26 Sebastian L. | Educabot.com: te deseo obvio y la abstinencia de ser total
> 03:49 Juan Mateos | Educabot.com: Dale te pasé ahí seba viste el documento había como algunas definiciones Me parece que que no estaban como correctamente cubiertas en la documentación técnica O al menos había diferencias entre lo que yo tenía definido como producto y lo que habían documentación, no vamos lo más importante.
> 04:16 Juan Mateos | Educabot.com: puntos abiertos bueno el dashboard ese mvp, eso entiendo que va a estar en mvp, es un será más simple más complejo lo veremos bitácora, ese punto puede ser importante que comparto pantalla José que creo que este documento no te lo mandé a vos pero básicamente analicé como todo el el documento técnico el
> 04:41 Juan Mateos | Educabot.com: repo técnico digamos de documentación de seba y lo comparé conmigo mi documentación y yo tenía como la bitácora de cotejo, por ejemplo en mvp y acá aparecía como post mvp no el hecho de tener la bitácora de cotejo acá vamos a habría que definir si lo ponemos o no en el mvp es una cuestión de scope y darle forma pero básicamente la bitácora es algo muy importante lo
> 05:48 Juan Mateos | Educabot.com: customización por organización nada cuestiones de creo que lo podemos ver después edición edición asistida por guía de planificación docente acá en el técnico según este informe me dice que estás solo la generación, no hay chat edición de guía para planificación entiendo que debería ver, quizás falta la documentación. No sé quedó fuera mi análisis. Eso como un puntito importante a chequear. Que aparezca, digamos todo lo que es la edición con ia
> 14:34 Sebastian L. | Educabot.com: Le podemos sonar una ficha muy importante y si quieres a Natalia muchos
> 15:34 Juan Mateos | Educabot.com: Sí igual hoy no estamos como organizando tanto por temas, sino como que eso se define en esta estructura de coordinación que hago que no hago como que queda en manos del docente con el objetivo de la clase en teoría. Pero entiendo el punto, creo que tenemos que dejar algo más flexible como bueno, que lo maneje por el objetivo de la clase y listo antes de entrar en una estructura de bueno Esto es opcional y estamos prioritario, creo que lo llevaría por ahí.
> 16:08 Juan Mateos | Educabot.com: Y después a ver algo así como importante bueno esto.
> 17:12 Juan Mateos | Educabot.com: Bien, Sí sí, sí, algo es importante que hay que pensar y ver y aprovecho como para introducir lo que entiendo que nadie lo vio porque medio que se definió en estos días, quizá alguien ya se imaginaba que vamos por acá, pero esta lógica de que Alicia va a ser un modular.
> 17:29 Juan Mateos | Educabot.com: Qué significa que sea modular que de repente tucumán quiere Alicia solo con el módulo de inclusión, pero no con planificación y el día de mañana La Rioja
> 17:39 Juan Mateos | Educabot.com: quiere que planificación también tenga el módulo de aprendizaje adaptativo que va a ser tuning como aplicado a y como postura de educabot, lo que vamos a estar ofreciendo es que Alicia es la infraestructura educativa que tiene algunos módulos propios, pero también vamos a permitir módulos de terceros recontra Roma es más digamos discurso que estamos Armando con Felipe del posicionamiento educativo de aquí en adelante que Algo tangible y puntual pero sí es importante digamos porque hay dos módulos que tenemos que hacer que es el módulo de inclusión y el módulo de planificación no y Habría que ver Digamos si pueden vivir separados
